iter,loss,acc_seg,lr
18550,0.1997,90.6897,5.3546e-05
18600,0.1678,98.2002,5.3527e-05
18650,0.137,92.2649,5.3508e-05
18700,0.1311,91.7497,5.3489e-05
18750,0.1858,97.1137,5.347e-05
18800,0.2848,93.6102,5.3451e-05
18850,0.1414,95.9558,5.3433e-05
18900,0.1147,96.7331,5.3414e-05
18950,0.1352,95.3434,5.3395e-05
19000,0.1188,90.2743,5.3376e-05
19050,0.1192,93.8612,5.3357e-05
19100,0.2142,90.174,5.3338e-05
19150,0.173,94.8922,5.3319e-05
19200,0.2426,97.3184,5.33e-05
19250,0.1677,91.3706,5.3281e-05
19300,0.1018,94.2518,5.3262e-05
19350,0.1095,96.8456,5.3243e-05
19400,0.118,97.0591,5.3224e-05
19450,0.1451,96.1636,5.3205e-05
19500,0.1436,96.335,5.3186e-05
19550,0.2113,98.2162,5.3168e-05
19600,0.1177,94.9675,5.3149e-05
19650,0.166,91.1548,5.313e-05
19700,0.1456,99.3211,5.3111e-05
19750,0.1783,94.1883,5.3092e-05
19800,0.1432,97.9822,5.3073e-05
19850,0.1492,96.9425,5.3054e-05
19900,0.1271,96.7311,5.3035e-05
19950,0.2388,92.667,5.3016e-05
20000,0.251,62.5455,5.2997e-05
20050,0.2248,95.0213,5.2978e-05
20100,0.1121,93.3008,5.2959e-05
20150,0.1157,93.4292,5.294e-05
20200,0.1431,92.9429,5.2921e-05
20250,0.1527,96.1476,5.2903e-05
20300,0.2831,92.1912,5.2884e-05
20350,0.2869,93.7369,5.2865e-05
20400,0.2042,96.256,5.2846e-05
20450,0.1812,92.4765,5.2827e-05
20500,0.4081,96.4806,5.2808e-05
20550,0.2316,94.7897,5.2789e-05
20600,0.1107,94.246,5.277e-05
20650,0.4843,92.4495,5.2751e-05
20700,0.1696,92.7106,5.2732e-05
20750,0.1369,96.4112,5.2713e-05
20800,0.1343,93.9284,5.2694e-05
20850,0.1056,92.7977,5.2675e-05
20900,0.129,97.1894,5.2656e-05
20950,0.1244,94.7085,5.2638e-05
21000,0.1193,95.3029,5.2619e-05
21050,0.1458,94.4599,5.26e-05
21100,0.1208,98.0924,5.2581e-05
21150,0.104,92.5545,5.2562e-05
21200,0.2165,97.4316,5.2543e-05
21250,0.1421,90.7759,5.2524e-05
21300,0.1361,86.0601,5.2505e-05
21350,0.3488,98.6731,5.2486e-05
21400,0.1354,94.5497,5.2467e-05
21450,0.167,96.4603,5.2448e-05
21500,0.3073,94.4901,5.2429e-05
21550,0.2009,97.4278,5.241e-05
21600,0.1729,76.8923,5.2391e-05
21650,0.2074,98.2648,5.2373e-05
21700,0.2268,92.4395,5.2354e-05
21750,0.1812,94.3576,5.2335e-05
21800,0.2693,64.7729,5.2316e-05
21850,0.1274,96.0456,5.2297e-05
21900,0.2188,75.0709,5.2278e-05
21950,0.2108,93.508,5.2259e-05
22000,0.2164,94.4266,5.224e-05
22050,0.1787,95.7132,5.2221e-05
22100,0.1474,94.4034,5.2202e-05
22150,0.1513,96.7597,5.2183e-05
22200,0.2005,80.7588,5.2164e-05
22250,0.1772,87.2906,5.2145e-05
22300,0.2234,93.8111,5.2127e-05
22350,0.1662,86.2389,5.2108e-05
22400,0.1044,96.1073,5.2089e-05
22450,0.1722,89.4668,5.207e-05
22500,0.1772,94.8378,5.2051e-05
22550,0.2383,89.6796,5.2032e-05
22600,0.2072,94.9387,5.2013e-05
22650,0.1021,96.9333,5.1994e-05
22700,0.2487,97.822,5.1975e-05
22750,0.0986,95.9362,5.1956e-05
22800,0.1516,87.4536,5.1937e-05
22850,0.1183,95.3993,5.1918e-05
22900,0.2157,95.7967,5.1899e-05
22950,0.1066,96.4403,5.188e-05
23000,0.1815,94.6911,5.1862e-05
23050,0.1217,90.8656,5.1843e-05
23100,0.1342,79.7316,5.1824e-05
23150,0.1524,86.5235,5.1805e-05
23200,0.1271,94.1353,5.1786e-05
23250,0.1609,94.9395,5.1767e-05
